date,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
2020-03-28,0.2857142857142857,0.5714285714285714,0.7142857142857142,2.0,23.142857142857142,5.428571428571428,4.142857142857142,0.5714285714285714,0.0,5.857142857142857,6.999999999999999,0.0,0.42857142857142855,0.5714285714285714,5.857142857142857,6.428571428571429,0.42857142857142855,0.8571428571428571,16.714285714285715,6.142857142857142,0.42857142857142855,0.14285714285714285,17.71428571428571,0.5714285714285714,1.4285714285714284,1.7142857142857142,0.14285714285714285,0.7142857142857142,0.14285714285714285,0.2857142857142857,0.2857142857142857,24.285714285714285,0.14285714285714285,1.1428571428571428,184.14285714285714,6.0,2.0,1.2857142857142856,4.571428571428571,0.42857142857142855,1.714285714285714,0.0,0.857142857142857,5.285714285714286,0.14285714285714285,1.4285714285714286,1.4285714285714284,13.428571428571429,2.571428571428571,0.0,0.0
2020-03-29,0.2857142857142857,1.4285714285714284,0.857142857142857,2.142857142857143,13.857142857142856,5.714285714285714,3.7142857142857144,0.42857142857142855,0.0,6.142857142857142,7.857142857142857,0.0,0.5714285714285714,0.7142857142857142,8.142857142857142,8.285714285714285,0.7142857142857142,0.8571428571428571,18.714285714285715,6.142857142857142,1.0,0.42857142857142855,20.714285714285715,1.1428571428571428,1.857142857142857,1.857142857142857,0.14285714285714285,0.9999999999999999,0.14285714285714285,0.2857142857142857,0.2857142857142857,27.142857142857142,0.2857142857142857,1.857142857142857,231.0,8.285714285714285,1.9999999999999998,1.1428571428571426,5.285714285714286,0.7142857142857142,1.8571428571428568,0.0,0.857142857142857,6.285714285714286,0.14285714285714285,2.0,1.4285714285714284,14.428571428571429,3.571428571428571,0.0,0.0
2020-03-30,0.42857142857142855,1.4285714285714284,0.9999999999999998,2.571428571428571,15.571428571428573,6.285714285714286,3.714285714285714,1.0,0.0,6.428571428571428,8.857142857142856,0.0,0.8571428571428571,0.857142857142857,8.714285714285714,9.714285714285714,0.857142857142857,0.9999999999999999,21.428571428571427,6.7142857142857135,1.7142857142857142,0.42857142857142855,27.857142857142854,1.2857142857142856,1.7142857142857142,2.142857142857143,0.7142857142857142,0.9999999999999999,0.2857142857142857,0.2857142857142857,0.2857142857142857,32.57142857142857,0.2857142857142857,1.5714285714285714,275.2857142857143,9.571428571428571,1.9999999999999998,1.5714285714285712,6.285714285714286,1.1428571428571428,1.8571428571428568,0.0,1.714285714285714,7.7142857142857135,0.42857142857142855,1.2857142857142858,0.9999999999999999,13.714285714285714,4.428571428571428,0.14285714285714285,0.0
2020-03-31,0.42857142857142855,3.2857142857142856,0.857142857142857,2.8571428571428568,17.0,8.285714285714285,8.142857142857142,1.0,0.42857142857142855,9.571428571428571,11.285714285714285,0.0,1.0,1.1428571428571428,11.857142857142856,12.0,0.9999999999999998,0.9999999999999999,27.571428571428573,11.142857142857142,2.0,0.7142857142857142,37.285714285714285,1.5714285714285712,1.5714285714285714,2.7142857142857144,0.7142857142857142,1.7142857142857142,0.42857142857142855,0.42857142857142855,0.2857142857142857,43.714285714285715,0.5714285714285714,3.142857142857143,327.4285714285714,10.142857142857142,2.8571428571428568,1.4285714285714284,7.857142857142857,1.4285714285714284,2.428571428571428,0.0,2.9999999999999996,8.571428571428571,0.5714285714285714,2.571428571428571,0.857142857142857,15.571428571428571,5.285714285714285,0.14285714285714285,0.0
2020-04-01,0.2857142857142857,3.7142857142857144,1.1428571428571428,3.714285714285714,19.0,62.42857142857142,9.428571428571427,1.0,1.857142857142857,9.142857142857142,14.142857142857142,0.14285714285714285,1.1428571428571428,1.2857142857142856,17.428571428571427,14.285714285714285,0.9999999999999998,1.857142857142857,29.714285714285715,15.285714285714283,3.857142857142857,0.7142857142857142,45.57142857142857,2.2857142857142856,2.142857142857143,2.7142857142857135,0.857142857142857,1.714285714285714,0.42857142857142855,0.5714285714285714,0.2857142857142857,56.42857142857142,0.5714285714285714,3.571428571428571,394.42857142857144,11.714285714285714,3.571428571428571,1.2857142857142856,8.428571428571429,1.5714285714285712,2.7142857142857135,0.14285714285714285,0.0,11.285714285714285,0.5714285714285714,3.571428571428571,1.1428571428571428,25.285714285714285,6.285714285714285,0.14285714285714285,0.0
2020-04-02,0.2857142857142857,4.428571428571429,1.4285714285714284,3.8571428571428568,22.285714285714285,65.71428571428571,13.0,1.2857142857142856,2.2857142857142856,19.285714285714285,16.428571428571427,0.14285714285714285,1.4285714285714284,0.857142857142857,19.57142857142857,16.142857142857142,1.4285714285714284,3.714285714285714,32.42857142857143,18.428571428571427,4.571428571428571,0.9999999999999999,54.57142857142856,2.2857142857142856,3.2857142857142856,2.8571428571428568,0.857142857142857,2.571428571428571,0.42857142857142855,0.7142857142857142,0.2857142857142857,81.71428571428571,0.7142857142857142,4.0,464.71428571428567,13.428571428571427,3.8571428571428568,1.4285714285714284,10.428571428571427,2.1428571428571423,3.142857142857143,0.14285714285714285,4.142857142857142,13.857142857142856,0.8571428571428571,4.428571428571428,1.1428571428571428,27.14285714285714,7.142857142857142,0.2857142857142857,0.0
2020-04-03,0.2857142857142857,4.857142857142857,1.2857142857142856,4.428571428571428,25.142857142857142,68.14285714285714,14.857142857142856,1.7142857142857142,2.2857142857142856,19.285714285714285,17.142857142857142,0.42857142857142855,1.1428571428571428,0.857142857142857,25.142857142857142,20.285714285714285,1.9999999999999998,3.8571428571428568,35.857142857142854,22.428571428571427,5.428571428571428,1.1428571428571428,58.71428571428571,2.571428571428571,5.142857142857142,2.9999999999999996,0.5714285714285714,3.2857142857142856,0.2857142857142857,0.857142857142857,0.5714285714285714,96.57142857142857,1.2857142857142856,4.714285714285714,532.1428571428571,15.428571428571427,4.285714285714286,1.4285714285714284,11.714285714285714,2.2857142857142856,2.9999999999999996,0.14285714285714285,4.428571428571428,15.285714285714285,0.8571428571428571,5.142857142857142,1.0,30.28571428571428,9.571428571428571,0.2857142857142857,0.0
2020-04-04,0.42857142857142855,5.7142857142857135,1.2857142857142856,5.285714285714285,15.0,70.71428571428572,18.857142857142854,2.4285714285714284,2.4285714285714284,20.142857142857142,18.857142857142854,0.42857142857142855,1.5714285714285714,0.857142857142857,28.142857142857142,22.142857142857142,1.857142857142857,4.428571428571428,38.857142857142854,24.57142857142857,6.999999999999999,1.2857142857142856,65.0,2.714285714285714,5.428571428571428,3.142857142857143,0.7142857142857142,4.142857142857142,0.2857142857142857,0.5714285714285714,0.7142857142857142,123.85714285714285,1.4285714285714284,5.142857142857143,600.5714285714286,16.57142857142857,3.8571428571428568,1.2857142857142856,15.428571428571429,3.4285714285714284,3.571428571428571,0.14285714285714285,5.142857142857142,17.0,1.0,5.571428571428571,1.1428571428571428,29.999999999999996,11.428571428571427,0.2857142857142857,0.0
2020-04-05,0.5714285714285714,5.0,1.4285714285714284,6.714285714285714,29.999999999999996,75.42857142857143,22.14285714285714,2.4285714285714284,2.714285714285714,23.571428571428573,18.71428571428571,0.5714285714285714,1.9999999999999998,0.7142857142857142,29.71428571428571,24.428571428571427,2.0,5.142857142857142,46.57142857142857,26.14285714285714,8.142857142857142,1.0,74.0,2.857142857142857,6.857142857142856,4.142857142857142,0.7142857142857142,4.428571428571428,0.2857142857142857,0.8571428571428571,0.9999999999999999,138.0,1.4285714285714284,4.428571428571429,677.9999999999999,17.142857142857142,4.285714285714285,1.9999999999999998,16.571428571428573,3.4285714285714284,4.0,0.14285714285714285,5.142857142857142,20.285714285714285,0.857142857142857,4.571428571428571,1.4285714285714284,32.57142857142857,10.999999999999998,0.42857142857142855,0.0
2020-04-06,0.42857142857142855,5.571428571428571,1.2857142857142856,6.428571428571429,31.71428571428571,79.28571428571429,24.28571428571428,2.142857142857143,3.4285714285714284,24.714285714285715,20.285714285714285,0.7142857142857142,2.714285714285714,0.5714285714285714,33.42857142857142,25.857142857142858,2.2857142857142856,4.857142857142857,46.71428571428571,29.14285714285714,10.857142857142856,1.0,82.85714285714286,2.857142857142857,7.999999999999998,5.0,0.14285714285714285,5.428571428571428,0.14285714285714285,1.0,0.8571428571428571,152.7142857142857,1.4285714285714284,4.428571428571429,765.5714285714286,18.14285714285714,4.999999999999999,1.5714285714285712,19.428571428571427,4.0,4.285714285714286,0.42857142857142855,7.285714285714286,21.57142857142857,1.2857142857142856,7.285714285714285,1.5714285714285712,35.0,11.571428571428571,0.42857142857142855,0.0
