ymin,lower,middle,upper,ymax,location,model_name
2.1621255217498083,2.240946870355081,2.2711681326283473,2.2990041102071195,2.341542514457984,MS,Baseline
2.389364318325064,2.5673820768215156,2.6723100864182943,2.806297052718329,3.054734432834884,MS,Behavioral (Mixed)
2.377635076638223,2.5169422963809827,2.6043149370291605,2.687767708111427,2.876233652025834,MS,Behavioral (Exponential)
2.3663495411856994,2.4820905565333153,2.53386682493413,2.592197026270198,2.7524137056734026,MS,Behavioral (Rational)
2.1256297727423084,2.1991506428749665,2.2333325614981177,2.266269037894914,2.31572519620643,NC,Baseline
4.29826188397227,4.729364257964257,4.935724749622395,5.141246289893978,5.671030958572732,NC,Behavioral (Mixed)
2.846591112296542,2.9909408619790097,3.0757604038833164,3.169324989629522,3.40437563228376,NC,Behavioral (Exponential)
2.4388534854578214,2.565834319739042,2.6212718486539055,2.6881372215520978,2.8536225217236852,NC,Behavioral (Rational)
1.9946200950410296,2.061002474650981,2.0948234399565435,2.1267455597152547,2.1668360471312966,NE,Baseline
2.0180194471485535,2.153245581473917,2.2097998151430596,2.260293380745358,2.3711938864788493,NE,Behavioral (Mixed)
2.009446294667953,2.1162395612003504,2.160239535598395,2.200475892146688,2.288520586032252,NE,Behavioral (Exponential)
2.01404911510781,2.1184748928519377,2.1567386766109076,2.200630514031514,2.291888600932831,NE,Behavioral (Rational)
2.145243424949302,2.2123023319528943,2.2377039551057596,2.259007594952286,2.302807259445241,NH,Baseline
2.25517439551896,2.4198775105491004,2.5323535502295527,2.634401381154082,2.831980120174592,NH,Behavioral (Mixed)
2.210122474945811,2.2955628408407285,2.3353478592264,2.3858590330735567,2.5189689000306172,NH,Behavioral (Exponential)
2.2129742420280727,2.2840023006969323,2.323238915054566,2.366697213593684,2.489451700226178,NH,Behavioral (Rational)
3.1195241542641905,3.220013507399396,3.265313595734326,3.3040281553050788,3.3703007003040697,NJ,Baseline
3.5358380616028,4.795488565755875,5.265405647463049,5.681118872350587,5.999928668508547,NJ,Behavioral (Mixed)
4.031621458886123,5.0061913183586775,5.391156558482586,5.7082592492004895,5.999512042726069,NJ,Behavioral (Exponential)
4.2717277481245866,5.177162578765088,5.502158101493519,5.7869262176139,5.999206464103355,NJ,Behavioral (Rational)
2.276164668264185,2.3508984238683683,2.384032074921604,2.409274742363058,2.4527273065979736,NM,Baseline
2.7679389661881397,3.0542138096257783,3.180460112905696,3.309657788976323,3.5862236002179113,NM,Behavioral (Mixed)
2.411713824159521,2.523941477636864,2.5901732857243474,2.6628527093126104,2.8702630106616507,NM,Behavioral (Exponential)
2.394863465957791,2.485891990334537,2.5372134628181584,2.592902142146275,2.7507105062392054,NM,Behavioral (Rational)
2.7742385714531643,2.869421545908383,2.919269335162364,2.9651549962209787,3.0398723928632316,NV,Baseline
3.2596668312728565,3.4457981433893488,3.53047441141693,3.626923943220798,3.864932088637495,NV,Behavioral (Mixed)
2.948968255962726,3.101792858590992,3.185844058549646,3.2669297425048907,3.4281820284072464,NV,Behavioral (Exponential)
2.9076808521644,3.0651484073803323,3.149400885920491,3.224412777354537,3.386074071188968,NV,Behavioral (Rational)
4.091391090633962,4.277011965998119,4.410079836815121,4.523827665784946,4.750567354069597,NY,Baseline
4.0027241515873335,4.953361162654444,5.395828007747364,5.699547653707635,5.999519774888533,NY,Behavioral (Mixed)
4.043359916224123,5.003883860493445,5.438440029450181,5.750843841596503,5.99967849502127,NY,Behavioral (Exponential)
4.082361425484031,5.088896273765537,5.487718628848145,5.7692550743932305,5.998978799445324,NY,Behavioral (Rational)
2.5954092237257536,2.687063904761218,2.7255713651497726,2.7628568132994324,2.818705049350006,OH,Baseline
2.938524523149276,3.4304752408744847,3.788924408642259,4.175105984648834,4.897564344404402,OH,Behavioral (Mixed)
2.9653180314711256,3.346887208074856,3.593970208325538,3.875730363156865,4.466854627712677,OH,Behavioral (Exponential)
3.154287413575957,3.775974361357482,4.092877685265753,4.413881866667537,5.067549136854631,OH,Behavioral (Rational)
3.2142109635656344,3.3194787576578295,3.3656722515070427,3.4097986984744537,3.47336918207713,OK,Baseline
3.5682396105890595,3.760689530889724,3.851499124630777,3.9627932592832367,4.247081065800388,OK,Behavioral (Mixed)
3.3538683715904045,3.5077878846507557,3.5824665971787706,3.66342458478272,3.865795351830863,OK,Behavioral (Exponential)
3.3279624462194475,3.495680965395799,3.5667790064826237,3.630439049309594,3.810924343554656,OK,Behavioral (Rational)
2.6226633379115656,2.698236282300943,2.7251220993784244,2.752165090009781,2.804484876748666,PA,Baseline
2.9278071394521263,3.931809183208626,4.462582793322133,5.0066307169461455,5.992848800422942,PA,Behavioral (Mixed)
3.0059025127706525,3.846283430531648,4.26898616513909,4.768998352628094,5.847233649235718,PA,Behavioral (Exponential)
3.5460330019731696,4.536341988228927,5.055312701405904,5.515194441382047,5.995046940374635,PA,Behavioral (Rational)
2.582640451402547,2.6557557225536588,2.69032640551142,2.718662787372302,2.766637015527631,RI,Baseline
2.7606669298035613,3.1683786005057573,3.442504660256052,3.721450213827038,4.315681654345017,RI,Behavioral (Mixed)
