R0,delta,theta_pi0,zeta,weight
4.070744571849686,-9.92655329278211,-8.26396876044523,0.012737472220348052,0.0012093460503828169
3.3406801571842917,-9.848114715009574,-6.973146573198145,0.009766894608689743,0.0021283585284422885
4.545259755704937,-9.978068758403616,-9.10691858109789,0.013941085577042397,0.0011995057352877027
5.184108860072067,-9.974458593237268,-9.954267448329047,0.016125988776078758,0.0008382305904162903
3.8589912388153147,-9.95639797367893,-7.913076271017279,0.010628485796984445,0.0010887608808056758
4.82119062735595,-9.94105531284723,-9.447600733938547,0.01476489804436215,0.0012237061004664958
4.8297981744864265,-9.956317221884063,-9.222173033267591,0.015260610895084112,0.0008442483404489978
4.943634373473239,-9.959895690159163,-9.690845223736853,0.014901850413407556,0.0011942225996876361
4.148621324037397,-9.91973489558545,-8.291201687262419,0.013723867099526539,0.0011263482917249015
3.4080842252363848,-9.866734719565958,-7.220288311566672,0.00944785886706113,0.0009577323723713157
4.6488658008084265,-9.910939920608943,-8.91604908305664,0.015248983134058862,0.0008255351784164191
4.6572439368947744,-9.899512626561497,-9.028988543373089,0.015002721377761059,0.001133348625277086
5.085924225545294,-9.93086167059853,-9.766545916537805,0.016783502061168493,0.0007409435679208072
4.741693464402567,-9.919741485235948,-9.424928930178043,0.014760642248240512,0.0008369857970416477
3.5645831095504317,-9.845838715328687,-7.460286797210527,0.01062949048882911,0.0008890225895919163
4.42081520706577,-9.979181688863543,-8.686923812661593,0.013668230471718203,0.0007736569267502425
4.3531877924380575,-9.943263054767455,-8.677427516298962,0.014369496331329102,0.0008660511951482084
3.9927429213581855,-9.867952448187408,-8.142732447013275,0.011752115947992692,0.0007776565195223023
4.90757594435715,-9.929051762325212,-9.591641727155741,0.015568194310587053,0.0008617220436757506
5.120398814781659,-9.913802562710355,-9.654373349306946,0.016721360913003667,0.0009970490095422113
3.802163608020728,-9.861428469366176,-7.6877546706533195,0.011986338614930515,0.0012075611604852603
3.5645710857558033,-9.885028044805539,-7.3362433202403,0.00993836155973681,0.0012093950293594598
4.562262352015677,-9.934604840709941,-9.201197105883745,0.014397420967242011,0.0007182964020091086
4.286157255777695,-9.929808685295738,-8.620561132609545,0.013372380871583819,0.0011427699962430417
4.87851751579719,-9.918330227281068,-9.308531675024591,0.015295103091606697,0.0012291518310860784
4.53494567162145,-9.917555327141248,-8.951205828775118,0.014706089169810154,0.001021180994984016
